model,metric,A24.001,C01.009,C01.032,C01.034,C01.036,C01.060,C02.001,C02.002,C13.004,C14.001,C14.003,C14.004,C14.005,C14.006,M04.001,M04.005,M10.001,M10.002,M10.005,M10.007,M10.008,M10.009,M10.013,M10.014,M12.002,M12.004,M12.032,M12.033,M13.001,M16.003,M24.001,M24.002,M24.026,M24.028,S01.001,S01.010,S01.017,S01.029,S01.047,S01.072,S01.131,S01.133,S01.135,S01.136,S01.139,S01.151,S01.161,S01.162,S01.216,S01.217,S01.224,S01.236,S01.251,S01.269,S01.278,S01.280,S01.302,S01.306,S01.308,S08.070,S08.071,S08.073,S08.074,S08.075,S08.076,S08.077,S08.109,S26.001,S26.008
UniZyme,AUROC,1,0.9866355330679585,0.9947665512630494,0.9841987849902821,0.9751559191526604,0.9873728691137331,0.9963428575621681,0.9394960791082893,0.9908109981365338,0.9818924422472493,0.9749055185529442,0.9883775453602388,0.9762954714261424,0.999838835811229,0.9339563640212134,0.9556303931240149,0.9989199072009343,0.9893183644765924,0.9921104353078537,0.9982081911262799,0.9828503883320461,0.9988180249442331,0.9919842382003522,0.999113806412457,0.958180521597392,0.978400527556133,0.9966472476518844,0.907540175419194,0.9865101079191366,0.950603030573569,0.9999994829240574,1,0.9994329953113074,1,0.9627030261834469,0.9918334059256739,0.9959473205491838,0.998692303966678,0.9605028450144509,0.9768178197255246,0.9545776440881721,0.9667904576796705,0.9633362175166065,0.9921777477757753,0.980414991642339,0.9746580364743926,1,1,0.9993929712460063,0.99650210152256,0.9667919470142977,0.9970175438596491,0.9997553406023201,0.9927173581622067,0.9988615664845173,0.922346757833467,0.9986416033122426,1,0.9924737033006891,0.9982593942355736,0.9997189104415631,0.9996867569161173,1,1,0.9999584889995848,0.9999966163460936,0.9956815114709852,1,0.995949777237748
UniZyme,AUPR,1,0.7293307135683413,0.9453060337662272,0.7806465415943701,0.742877610785845,0.8638885127430649,0.8213947083251844,0.5895111024309185,0.9464895310510754,0.5885303482264708,0.599145517751508,0.8747734738318436,0.6391845984546849,0.9828475828862587,0.6173142101867519,0.7703453993950643,0.9543951187085363,0.7381329600063757,0.9383307222741569,0.7037518037518038,0.8272951491650529,0.8081612937727983,0.7294968415466451,0.954935441842409,0.7271490748794474,0.8656420395139025,0.4234345117790273,0.5810657547283846,0.601354134073864,0.6896230148094857,0.9998444974606199,1,0.8719572203395732,1,0.8210006168617995,0.8927770395340352,0.552060015538465,0.7892776713103392,0.6249224990712724,0.2869311439326347,0.4291349018167946,0.45299148438256565,0.7708216761555187,0.9180010983684932,0.8321686841967777,0.7895041910410505,1,1,0.8674999999999999,0.5353169871316441,0.6236999117324168,0.7554542839500655,0.9190407959160576,0.9427506945010808,0.9005742146496574,0.6530083590108419,0.8828170727201052,1,0.39662729126469587,0.8496057861218764,0.941052339981971,0.9152499924730919,1.0000000000000002,0.9999999999999999,0.9767585630743526,0.9979513527575441,0.930952380952381,1,0.57324016563147
ReactZyme,AUROC,1,0.9866282059480228,0.9900638246585155,0.9774336011265822,0.9697791502442803,0.9712722348814283,0.983494118638351,0.9218769941956636,0.9860357421128874,0.9610384556549,0.9701341447266766,0.9860934597885387,0.9692902746070922,0.9995435590498449,0.8901980815903503,0.930548468664603,0.9966829604918237,0.9867992766726944,0.9874674355276608,,0.9828854467741146,0.998863620421162,0.9852295133807882,0.998021830044286,0.9537018466166349,0.9672276003157914,0.9936987278563786,0.8962090695636639,0.9777511779905761,0.8571535820665362,0.9985890874316664,1,0.99816813869807,1,0.950558068556226,0.9836260953395437,0.9969860551228991,0.9975783406790333,0.938736226517341,0.9043403145408772,0.9747741363109018,0.9580166250173539,0.9431486463901875,0.9905689784487496,0.9563277669461695,0.9585971400325523,1,1,0.9789137380191694,0.9959891471039283,0.9352747406784413,0.9967719298245613,0.9995200511390196,0.9933530080955496,0.994535519125683,0.8933211939903853,0.9970463291855458,,0.9605730866884296,0.9751282640485588,0.9996726963114535,0.9982791264716686,1,1,0.999813200498132,0.9999966163460936,0.9649122807017544,0.9998160412067697,0.9947347104090726
ReactZyme,AUPR,1,0.5920009980777233,0.894293605215341,0.6442188744893624,0.6235014568598983,0.6387328618664717,0.7435453002214452,0.5809925197146528,0.8574262016687808,0.5198156909604482,0.4900731945899533,0.7770236401698976,0.5484249859552849,0.9583445624489451,0.5087546880197167,0.6714301331582817,0.8064736540750991,0.6713543279968972,0.8810974712588001,,0.833546810897201,0.8231658251967866,0.5271786517076958,0.8992040996792808,0.7170924576303721,0.6743843200215321,0.46347701785427176,0.4772261399967431,0.48028573205370956,0.606945450542856,0.9316955557993282,1,0.7032297186995644,1,0.6958586459667354,0.8038541840668649,0.5776512889109264,0.6629064426547264,0.3681728946533818,0.12238427116273778,0.4038435479832135,0.4639231711614531,0.6244875800576357,0.8732168696398777,0.7637159846589752,0.7548081643961844,1,1,0.2695014032030051,0.49002644691336145,0.26968538198079084,0.7324336396504589,0.8235336343243611,0.899086635604276,0.7555391243693237,0.6273311678182149,0.860311585913545,,0.0729494053856037,0.6595562234139615,0.9288822602127379,0.6596825939940584,1,1,0.9250551491930802,0.9980449657869013,0.7659125182669394,0.9512205387205389,0.5572747814127124
ClipZyme,AUROC,1,0.9898587979264307,0.9915604389618246,0.978711685004193,0.9722977389873918,0.9771256511038822,0.99251896668599,0.9117466161156255,0.9860669438600957,0.9728358377980182,0.972861453387845,0.988128603690162,0.9718603677031566,0.9996421608690002,0.900817290001265,0.9598258325679491,0.9980521868089102,0.9908830620855937,0.9903709352931972,0.9989761092150171,0.983664837196452,0.9981972249891272,0.9902139810015129,0.9991270827208847,0.9566732389862357,0.9796960339088756,0.996480798953751,0.900949194790169,0.9672537619699042,0.8893402374787965,0.9996611065120291,1,0.9991713008396031,1,0.9463431204684584,0.9876227972766146,0.9959150282826434,0.9975541240858237,0.947638186416185,0.9650200159320769,0.9521095484826054,0.9639075443102411,0.9451259678223521,0.9904105806098692,0.9634782141490692,0.9634619182693421,1,1,0.9606389776357828,0.9953569009600333,0.9149385863470705,0.9977894736842106,0.9996439424935895,0.9909355646415905,0.9964948231233822,0.8933332097772029,0.9983003201774672,1,0.9577257889009794,0.9908995301099883,0.9995064924820839,0.9996726383742695,1,1,0.9999861629998615,0.9999830817304682,0.9875843454790824,1,0.9961522883758607
ClipZyme,AUPR,1,0.7569381996372448,0.9055966443496498,0.710603212934987,0.7173745928047874,0.7606204960526046,0.8224076197107879,0.5725148065194668,0.9104940253976684,0.4856814262298712,0.5183262665672077,0.8034415484521823,0.596342960722903,0.9649799004912432,0.5248360943355335,0.7965852838195612,0.9096633396065965,0.7981040973879853,0.9020654461754778,0.8434523809523811,0.8176902976437721,0.8356838913789697,0.7140114782869567,0.9572560404886141,0.7491882384797267,0.7504550718817141,0.3780217797147115,0.5518754368962699,0.37138250445087473,0.5621053695444809,0.9584730810099341,1,0.7310702807684233,1,0.73846777586636,0.8605531704849249,0.45099402948025025,0.6605748092590198,0.5774778975160975,0.1062889798796362,0.4119707457718674,0.4345404593581109,0.7048875310750762,0.9378517170780007,0.7503365983200894,0.7549448899252466,1,1,0.516066166187746,0.4470276539890811,0.4168198340642801,0.8409661036266753,0.8736067106562577,0.9136323773212441,0.856781135291058,0.6400936820369233,0.882262754125534,1,0.28129602553957445,0.7380633900341835,0.9167517138172574,0.916723405683455,1.0000000000000002,0.9999999999999999,0.9921568627450981,0.9913668320926385,0.8993125921697349,1,0.367550505050505
ProsperousPlus,AUROC,,0.6853200575714916,0.8058135092748445,0.8098887969855711,0.7241955878396557,0.6413328166341503,0.7017357185608831,0.6515631073352214,0.939742268041237,0.9584627329192547,0.9776747062461348,0.6448852308226735,0.6525703879125293,0.5719351930496372,0.7855416666666668,0.6081599123767799,0.7975990928810887,0.6623978201634877,0.6413357363691874,,0.7592367358178813,0.909688013136289,0.6367025683512842,0.7867647058823529,0.6857850761586344,0.7507980131800887,0.8410129709697345,0.837245520607977,0.9226804123711341,0.771268656716418,0.49992682034394437,0.5,0.7166011787819254,0.5,0.5368516107354362,0.63187708444716,0.8390998959417273,0.8026666666666666,0.6182529902138456,0.9549414647427171,0.5882669055082849,0.7170940170940171,0.9323854026204822,0.6135942543884781,0.6817193300776601,,,,,0.7496246246246246,0.7395769348894349,0.9672897196261682,0.9630702389572774,0.7927927927927927,0.9162049861495845,0.8236584627617776,0.8958043579044971,,0.9755168661588683,0.9966038900895339,0.9796676096181047,0.819578205518831,0.9938243366880146,0.989415749364945,0.9841220423412204,0.9919760855884203,0.9404858299595141,0.9848628192999054,0.9489671931956258
ProsperousPlus,AUPR,,0.028388778483756066,0.05920310692100911,0.04564358205484906,0.04843076260802369,0.03241907782178361,0.015719388081282655,0.022723198565895195,0.1735386317536419,0.02947845804988662,0.06958762886597938,0.023241567386097256,0.03512619506418771,0.02429061214904206,0.039135898158587,0.2710822510822511,0.09389188378204995,0.0647977153736316,0.048319578702950214,,0.16638999235423174,0.05172413793103448,0.05302582085620387,0.017229711439553895,0.021926366777765712,0.018086587966088526,0.01702601995705444,0.014547170541350225,0.21052631578947367,0.023986988847583643,0.003427654609101517,0.010869565217391304,0.02405644806338028,0.0196078431372549,0.16293342141321765,0.02963823246637999,0.03228626943005181,0.02910579902611775,0.021898588107521044,0.026470588235294117,0.011274553326613429,0.06094339622641509,0.02463010352817615,0.022114532197854152,0.02244957676929264,,,,,0.05496435931218541,0.04291460068737185,0.17647058823529413,0.03773584905660377,0.119026678393433,0.016260162601626018,0.1339935548469476,0.04432196997347738,,0.03571428571428571,0.4358974358974359,0.1015625,0.04782976039798896,0.15625,0.09090909090909091,0.04672897196261682,0.08928571428571429,0.46489416623644814,0.1111111111111111,0.034482758620689655
DeepCleave,AUROC,0.9647435897435898,0.8695562455464954,0.798331320798114,0.869984990535367,0.8664295256472785,0.8142579113728686,0.7018188468444503,0.7824976400688546,0.8196250231077565,0.6472617056856188,0.863369616658779,0.7773155522242002,0.8874255117123184,0.8940741787112749,0.7982393816799848,0.8146221248630886,0.8310901860251101,0.8365122615803815,0.8237720488192856,0.8517382413087935,0.7712846521020744,0.8620689655172413,0.7967806841046278,0.817455242966752,0.813315500467892,0.8261149514657465,0.87183446571958,0.8223678371331891,0.9123711340206185,0.741044776119403,0.9982898531285629,0.956043956043956,0.9616895874263262,0.9600000000000001,0.742446133814944,0.8522608899948763,0.9001040582726327,0.7579999999999998,0.8129612178325478,0.8122636657893939,0.6382669055082848,0.6965811965811965,0.8500783338659517,0.9119515596049892,0.9142197664293398,0.8729178761798891,0.8360323886639676,0.8775100401606426,0.7915335463258786,0.8138138138138138,0.9123733108108107,0.4657320872274144,0.850397175639894,0.822947592667572,0.859656652360515,0.8934332099924106,0.9330088085303663,0.9574898785425101,0.9718897352194414,0.9882679839456622,0.8866690240452616,0.9470173672287944,0.972323879231473,0.9597798475867909,0.978362391033624,0.9521711768407803,0.9175438596491228,0.864120151371807,0.9696233292831106
DeepCleave,AUPR,0.08333333333333333,0.05258452151152639,0.031157836692971484,0.04786806081624812,0.07884034146052865,0.04189368044451852,0.01789763695424073,0.03479079964069012,0.021450978300242174,0.00364964450519677,0.009945130315500686,0.022252596369865145,0.04235435089659614,0.06965922993743108,0.036787793884497724,0.42713744588744584,0.09751621402025971,0.1111111111111111,0.06427635689323083,0.013605442176870748,0.1451782423639536,0.034482758620689655,0.0776255707762557,0.02546581301814003,0.031165768168389937,0.017535884722299697,0.011904761904761904,0.012642342122106787,0.19047619047619047,0.012667113071186129,0.48484848484848486,0.1111111111111111,0.07142857142857142,0.2,0.26949936246829853,0.033651511894960906,0.02040816326530612,0.012922224146890699,0.02785490294271951,0.007535239239430293,0.012085348836954389,0.04218390804597701,0.010163384043804721,0.06961427295809659,0.07196924680901838,0.05279669464474285,0.012195121951219513,0.016129032258064516,0.0076045627376425855,0.03074445683141335,0.05034324942791762,0.013048007486272226,0.008771929824561403,0.0735693265820867,0.00909090909090909,0.051782998546703755,0.020338983050847456,0.045454545454545456,0.03125,0.1827956989247312,0.019877675840978593,0.04318181818181818,0.03968253968253968,0.02564102564102564,0.034722222222222224,0.016181229773462782,0.21666666666666667,0.08748096860726455,0.05660377358490566
DeepDigest,AUROC,0.9358974358974359,0.786060087248387,0.746989119531814,0.7931318979418707,0.7917648274984626,0.7153939172253708,0.7338564873312496,0.7302737520128826,0.7608414830445428,0.6763766125179169,0.7243615059483982,0.5527566965447599,0.8219907667265379,0.7041498114131062,0.7716606112615675,0.8628148959474261,0.6937816341287057,0.7269754768392371,0.8323428775601661,0.7689161554192229,0.6496580686616487,0.5632183908045977,0.6660551544561486,0.6480179028132993,0.7174903331744267,0.7679305415507474,0.8625694873378629,0.7767265768014645,0.8969072164948454,0.8552238805970149,0.9983233854201596,0.2967032967032967,0.7296987557301897,0.49,0.6418623209710613,0.8144280635724555,0.8371488033298647,0.808,0.6913446901051106,0.5911455969991227,0.7253918495297806,0.8153846153846154,0.7830132427102738,0.873299524382557,0.8586699021666753,0.8660616154513923,0.7894736842105263,0.7911646586345382,0.8218849840255591,0.8211336336336337,0.5904292076167076,0.4540498442367601,0.6973374521918212,0.7317041275051229,0.8072961373390558,0.8588234765910547,0.8998609179415855,0.7692307692307692,0.8363438520130577,0.8662350398634291,0.8258486562942009,0.7846715328467153,0.7861390667886551,0.8427180355630821,0.6833125778331258,0.8091567023285084,0.6720647773279352,0.8547776726584674,0.7806804374240583
DeepDigest,AUPR,0.047619047619047616,0.03620761412678347,0.02537366202921279,0.03175944131193978,0.0524786524674487,0.02922961909153294,0.015189364336679285,0.026280814122005187,0.01717279668276172,0.004033007938896234,0.005284613225696913,0.009497769787216385,0.024163441834445337,0.026334415571588447,0.034855719892508776,0.5106601731601732,0.05802065983312141,0.07691815134280011,0.07004396803790262,0.008771929824561403,0.08545650626565308,0.011260040528333211,0.05138375235410567,0.007557180832160576,0.01903321004664544,0.014161506838763717,0.011111111111111112,0.00942152312300104,0.16666666666666666,0.01272264631043257,0.4897959183673469,0.010869565217391304,0.014356225775193798,0.0196078431372549,0.21109688853052466,0.026795108035227153,0.012618296529968454,0.010309278350515464,0.015777813923227066,0.003105099955506711,0.015730337078651686,0.07794701986754966,0.0075549891935532175,0.04866085558458663,0.04472045462744354,0.05214153292047112,0.009523809523809525,0.009523809523809525,0.008888888888888889,0.032441307867471444,0.011572416171099711,0.012839778267548254,0.004610978349241261,0.05602002797663953,0.00663716814159292,0.04249632851611974,0.0136986301369863,0.008695652173913044,0.00937614098785326,0.022068430985466004,0.013026052104208416,0.010982658959537572,0.005319148936170213,0.0066844919786096255,0.0026031122270388416,0.004105090311986864,0.06593719100828645,0.012861736334405145,0.008241758241758242
